pair,a,b
RECV3-TOTS3,RECV3,TOTS3
RECV3-UGPA3,RECV3,UGPA3
RECV3-USIM5,RECV3,USIM5
RECV3-VALE3,RECV3,VALE3
RECV3-VAMO3,RECV3,VAMO3
RECV3-VIVA3,RECV3,VIVA3
RECV3-VIVT3,RECV3,VIVT3
RECV3-WEGE3,RECV3,WEGE3
RECV3-YDUQ3,RECV3,YDUQ3
RENT3-SANB11,RENT3,SANB11
RENT3-SBSP3,RENT3,SBSP3
RENT3-SLCE3,RENT3,SLCE3
RENT3-SMFT3,RENT3,SMFT3
RENT3-SMTO3,RENT3,SMTO3
RENT3-STBP3,RENT3,STBP3
RENT3-TAEE11,RENT3,TAEE11
RENT3-TIMS3,RENT3,TIMS3
RENT3-TOTS3,RENT3,TOTS3
RENT3-UGPA3,RENT3,UGPA3
RENT3-USIM5,RENT3,USIM5
RENT3-VALE3,RENT3,VALE3
RENT3-VAMO3,RENT3,VAMO3
RENT3-VIVA3,RENT3,VIVA3
RENT3-VIVT3,RENT3,VIVT3
RENT3-WEGE3,RENT3,WEGE3
RENT3-YDUQ3,RENT3,YDUQ3
SANB11-SBSP3,SANB11,SBSP3
SANB11-SLCE3,SANB11,SLCE3
SANB11-SMFT3,SANB11,SMFT3
SANB11-SMTO3,SANB11,SMTO3
SANB11-STBP3,SANB11,STBP3
SANB11-TAEE11,SANB11,TAEE11
SANB11-TIMS3,SANB11,TIMS3
SANB11-TOTS3,SANB11,TOTS3
SANB11-UGPA3,SANB11,UGPA3
SANB11-USIM5,SANB11,USIM5
SANB11-VALE3,SANB11,VALE3
SANB11-VAMO3,SANB11,VAMO3
SANB11-VIVA3,SANB11,VIVA3
SANB11-VIVT3,SANB11,VIVT3
SANB11-WEGE3,SANB11,WEGE3
SANB11-YDUQ3,SANB11,YDUQ3
SBSP3-SLCE3,SBSP3,SLCE3
SBSP3-SMFT3,SBSP3,SMFT3
SBSP3-SMTO3,SBSP3,SMTO3
SBSP3-STBP3,SBSP3,STBP3
SBSP3-TAEE11,SBSP3,TAEE11
SBSP3-TIMS3,SBSP3,TIMS3
SBSP3-TOTS3,SBSP3,TOTS3
SBSP3-UGPA3,SBSP3,UGPA3
SBSP3-USIM5,SBSP3,USIM5
SBSP3-VALE3,SBSP3,VALE3
SBSP3-VAMO3,SBSP3,VAMO3
SBSP3-VIVA3,SBSP3,VIVA3
SBSP3-VIVT3,SBSP3,VIVT3
SBSP3-WEGE3,SBSP3,WEGE3
SBSP3-YDUQ3,SBSP3,YDUQ3
SLCE3-SMFT3,SLCE3,SMFT3
SLCE3-SMTO3,SLCE3,SMTO3
SLCE3-STBP3,SLCE3,STBP3
SLCE3-TAEE11,SLCE3,TAEE11
SLCE3-TIMS3,SLCE3,TIMS3
SLCE3-TOTS3,SLCE3,TOTS3
SLCE3-UGPA3,SLCE3,UGPA3
SLCE3-USIM5,SLCE3,USIM5
SLCE3-VALE3,SLCE3,VALE3
SLCE3-VAMO3,SLCE3,VAMO3
SLCE3-VIVA3,SLCE3,VIVA3
SLCE3-VIVT3,SLCE3,VIVT3
SLCE3-WEGE3,SLCE3,WEGE3
SLCE3-YDUQ3,SLCE3,YDUQ3
SMFT3-SMTO3,SMFT3,SMTO3
SMFT3-STBP3,SMFT3,STBP3
SMFT3-TAEE11,SMFT3,TAEE11
SMFT3-TIMS3,SMFT3,TIMS3
SMFT3-TOTS3,SMFT3,TOTS3
SMFT3-UGPA3,SMFT3,UGPA3
SMFT3-USIM5,SMFT3,USIM5
SMFT3-VALE3,SMFT3,VALE3
SMFT3-VAMO3,SMFT3,VAMO3
SMFT3-VIVA3,SMFT3,VIVA3
SMFT3-VIVT3,SMFT3,VIVT3
SMFT3-WEGE3,SMFT3,WEGE3
SMFT3-YDUQ3,SMFT3,YDUQ3
SMTO3-STBP3,SMTO3,STBP3
SMTO3-TAEE11,SMTO3,TAEE11
SMTO3-TIMS3,SMTO3,TIMS3
SMTO3-TOTS3,SMTO3,TOTS3
SMTO3-UGPA3,SMTO3,UGPA3
SMTO3-USIM5,SMTO3,USIM5
SMTO3-VALE3,SMTO3,VALE3
SMTO3-VAMO3,SMTO3,VAMO3
SMTO3-VIVA3,SMTO3,VIVA3
SMTO3-VIVT3,SMTO3,VIVT3
SMTO3-WEGE3,SMTO3,WEGE3
SMTO3-YDUQ3,SMTO3,YDUQ3
STBP3-TAEE11,STBP3,TAEE11
STBP3-TIMS3,STBP3,TIMS3
STBP3-TOTS3,STBP3,TOTS3
STBP3-UGPA3,STBP3,UGPA3
STBP3-USIM5,STBP3,USIM5
STBP3-VALE3,STBP3,VALE3
STBP3-VAMO3,STBP3,VAMO3
STBP3-VIVA3,STBP3,VIVA3
STBP3-VIVT3,STBP3,VIVT3
STBP3-WEGE3,STBP3,WEGE3
STBP3-YDUQ3,STBP3,YDUQ3
TAEE11-TIMS3,TAEE11,TIMS3
TAEE11-TOTS3,TAEE11,TOTS3
TAEE11-UGPA3,TAEE11,UGPA3
TAEE11-USIM5,TAEE11,USIM5
TAEE11-VALE3,TAEE11,VALE3
TAEE11-VAMO3,TAEE11,VAMO3
TAEE11-VIVA3,TAEE11,VIVA3
TAEE11-VIVT3,TAEE11,VIVT3
TAEE11-WEGE3,TAEE11,WEGE3
TAEE11-YDUQ3,TAEE11,YDUQ3
TIMS3-TOTS3,TIMS3,TOTS3
TIMS3-UGPA3,TIMS3,UGPA3
TIMS3-USIM5,TIMS3,USIM5
TIMS3-VALE3,TIMS3,VALE3
TIMS3-VAMO3,TIMS3,VAMO3
TIMS3-VIVA3,TIMS3,VIVA3
TIMS3-VIVT3,TIMS3,VIVT3
TIMS3-WEGE3,TIMS3,WEGE3
TIMS3-YDUQ3,TIMS3,YDUQ3
TOTS3-UGPA3,TOTS3,UGPA3
TOTS3-USIM5,TOTS3,USIM5
TOTS3-VALE3,TOTS3,VALE3
TOTS3-VAMO3,TOTS3,VAMO3
TOTS3-VIVA3,TOTS3,VIVA3
TOTS3-VIVT3,TOTS3,VIVT3
TOTS3-WEGE3,TOTS3,WEGE3
TOTS3-YDUQ3,TOTS3,YDUQ3
UGPA3-USIM5,UGPA3,USIM5
UGPA3-VALE3,UGPA3,VALE3
UGPA3-VAMO3,UGPA3,VAMO3
UGPA3-VIVA3,UGPA3,VIVA3
UGPA3-VIVT3,UGPA3,VIVT3
UGPA3-WEGE3,UGPA3,WEGE3
UGPA3-YDUQ3,UGPA3,YDUQ3
USIM5-VALE3,USIM5,VALE3
USIM5-VAMO3,USIM5,VAMO3
USIM5-VIVA3,USIM5,VIVA3
USIM5-VIVT3,USIM5,VIVT3
USIM5-WEGE3,USIM5,WEGE3
USIM5-YDUQ3,USIM5,YDUQ3
VALE3-VAMO3,VALE3,VAMO3
VALE3-VIVA3,VALE3,VIVA3
VALE3-VIVT3,VALE3,VIVT3
VALE3-WEGE3,VALE3,WEGE3
VALE3-YDUQ3,VALE3,YDUQ3
VAMO3-VIVA3,VAMO3,VIVA3
VAMO3-VIVT3,VAMO3,VIVT3
VAMO3-WEGE3,VAMO3,WEGE3
VAMO3-YDUQ3,VAMO3,YDUQ3
VIVA3-VIVT3,VIVA3,VIVT3
VIVA3-WEGE3,VIVA3,WEGE3
VIVA3-YDUQ3,VIVA3,YDUQ3
VIVT3-WEGE3,VIVT3,WEGE3
VIVT3-YDUQ3,VIVT3,YDUQ3
WEGE3-YDUQ3,WEGE3,YDUQ3
